ID,session,latitude,longitude,altitude,time,open,bank,number,fee,info
20,3,48.1984493,16.3675031,221.5,1547639377000,No,Bank Austria,4,No,0
21,3,48.1979275,16.3677165,242.0,1547639475000,Unknown,Other,1,Unknown,0
22,3,48.1964946,16.367428,220.10000610351563,1547639597000,Unknown,Erste Group Bank AG,3,No,0
23,3,48.194653,16.3666775,183.0,1547639777384,No,Raiffeisen,1,No,0
24,3,48.192914,16.367016,222.1999969482422,1547639920000,No,Volksbank,2,No,0
25,3,48.192301,16.3670045,238.0,1547640010000,No,Bank Austria,1,No,0
26,3,48.1924787,16.3685626,251.0,1547640144000,Yes,Raiffeisen,1,No,0
