ID,session,latitude,longitude,altitude,time,open,bank,number,fee,info
12,5,48.1984597,16.3678112,217.1999969482422,1547636971303,No,Bank Austria,5,No,0
13,5,48.1978431,16.3674856,217.39999389648438,1547637258597,Yes,Other,1,Unknown,0
14,5,48.1965126,16.367294,220.5,1547637404279,No,Erste Group Bank AG,3,No,0
15,5,48.194697,16.3671566,221.39999389648438,1547637630067,No,Raiffeisen,1,No,0
17,5,48.1928328,16.3668063,209.0,1547637878384,No,Volksbank,1,No,0
18,5,48.1920413,16.367062,223.0,1547637988506,No,Bank Austria,3,Unknown,0
19,5,48.192346,16.3683844,184.0,1547638115000,Yes,Raiffeisen,1,No,0
