ID,session,latitude,longitude,altitude,time,open,bank,number,fee,info
9,6,48.1981429,16.3673722,231.2752685546875,1547636724000,No,Bank Austria,4,No,0
10,6,48.1980333,16.3672806,221.706787109375,1547636872000,Yes,Other,1,No,0
11,6,48.1963383,16.3673658,263.17529296875,1547637068000,No,Erste Group Bank AG,3,No,0
12,6,48.1944587,16.3671098,236.623291015625,1547637374000,No,Raiffeisen,1,No,0
13,6,48.192993,16.3669823,245.51504516601562,1547637515480,No,Volksbank,1,No,0
14,6,48.1919066,16.3668503,245.17698669433594,1547637736150,Yes,Bank Austria,3,No,0
15,6,48.192373,16.3685005,225.34912109375,1547637885000,Yes,Raiffeisen,1,No,0
