ID,session,latitude,longitude,altitude,time,open,bank,number,fee,info
16,4,48.1982238,16.3675593,282.95098876953125,1547639656000,No,Bank Austria,4,No,0
17,4,48.1980176,16.3673985,233.400634765625,1547639803000,No,Other,1,No,0
18,4,48.1965392,16.3673612,241.63726806640625,1547639988000,No,Erste Group Bank AG,3,No,0
19,4,48.1946048,16.366908,216.8878173828125,1547640196000,No,Raiffeisen,1,No,0
20,4,48.1927477,16.3668503,230.16986083984375,1547640428000,No,Volksbank,2,No,0
21,4,48.1920866,16.3669657,234.900634765625,1547640569000,No,Bank Austria,3,No,0
22,4,48.1924209,16.3684905,226.0736083984375,1547640674000,Yes,Raiffeisen,1,No,0
